city;area;population
Lüdinghausen, Stadt;140.54;23569
Werder (Havel), Stadt;116.14;23506
Weingarten, Stadt;12.17;23470
Teltow, Stadt;21.54;23449
Stutensee, Stadt;45.68;23414
Warburg, Hansestadt;168.84;23391
Walsrode, Stadt;270.72;23377
Korbach, Kreisstadt;123.98;23367
Glauchau, Stadt;51.49;23355
Ronnenberg, Stadt;37.78;23339
Gardelegen, Hansestadt;632.43;23237
Geretsried, St;24.59;23219
Netphen, Stadt;137.39;23185
Sehnde, Stadt;103.33;23060
Haren (Ems), Stadt;208.77;22949
Bedburg, Stadt;80.33;22930
Helmstedt, Stadt;46.97;22924
Mosbach, Stadt;62.23;22913
Burg, Stadt;164.05;22814
Rudolstadt, Stadt;55.39;22811
Herdecke, Stadt;22.4;22754
Spremberg, Stadt;180.38;22618
Waldshut-Tiengen, Stadt;77.98;22574
Herzogenaurach, St;47.62;22554
Osterode am Harz, Stadt;102.47;22532
Starnberg, St;61.84;22497
Wertheim, Stadt;138.63;22473
Öhringen, Stadt;67.78;22471
Vreden, Stadt;135.83;22395
Bad Mergentheim, Stadt;129.97;22287
Calw, Stadt;59.88;22275
Freudenstadt, Stadt;87.58;22253
Zerbst/Anhalt, Stadt;467.76;22242
Radevormwald, Stadt auf der Höhe;53.86;22236
Sondershausen, Stadt;200.81;22177
Husum, Stadt;25.81;22092
Westerstede, Stadt;179.23;21927
Gelnhausen, Barbarossast., Krst.;45.19;21912
Bad Harzburg, Stadt;65.42;21904
Überlingen, Stadt;58.67;21886
Lengerich, Stadt;90.79;21867
Apolda, Stadt;46.17;21820
Riedstadt, Stadt;73.76;21800
Eckernförde, Stadt;18.39;21791
Leutkirch im Allgäu, Stadt;174.96;21785
Sonneberg, Stadt;45.44;21737
Waldkraiburg, St;21.55;21663
Stadthagen, Stadt;60.27;21595
Senden, St;25.22;21586
Greiz, Stadt;76.3;21580
Büren, Stadt;170.99;21577
Karben, Stadt;43.94;21442
Wipperfürth, Hansestadt;118.3;21392
Werdau, Stadt;65.59;21338
Sonthofen, St;46.6;21318
Weilheim i.OB, St;55.49;21308
Rees, Stadt;109.86;21300
Xanten, Stadt;72.43;21273
Neusäß, St;25.21;21265
Halle (Westf.), Stadt;69.7;21228
Bad Soden am Taunus, Stadt;12.55;21223
Schwetzingen, Stadt;21.52;21194
Metzingen, Stadt;34.58;21129
Friesoythe, Stadt;247.1;21110
Gersthofen, St;34.01;21106
Bad Kissingen, GKSt;69.94;21102
Soltau, Stadt;203.24;21094
Donaueschingen, Stadt;104.62;21088
Waren (Müritz), Stadt;158.39;21074
Rotenburg (Wümme), Stadt;99;21072
Waldkirch, Stadt;48.47;21048
Nagold, Stadt;63.09;21044
Duderstadt, Stadt;95.62;21040
Wülfrath, Stadt;32.27;21040
Blieskastel, Stadt;108.24;21022
Büdingen, Stadt;122.88;21014
Döbeln, Stadt;39.47;20899
Heide, Stadt;31.97;20894
Hockenheim, Stadt;34.84;20874
Blankenburg (Harz), Stadt;148.9;20852
Groß-Umstadt, Stadt;86.84;20836
Meiningen, Stadt;59.46;20826
Annaberg-Buchholz, Stadt;28.11;20826
Versmold, Stadt;85.57;20817
Meinerzhagen, Stadt;115.66;20814
Elsdorf, Stadt;66.17;20781
Eppingen, Stadt;88.59;20769
Stadtallendorf, Stadt;78.29;20764
Schramberg, Stadt;80.7;20701
