log10.xvals,log10.ccdf,
544,1.7355988997,-Inf
545,1.7363965023,-Inf
546,1.7371926427,-Inf
547,1.7379873263,-Inf
548,1.7387805585,-Inf
549,1.7395723445,-Inf
550,1.7403626895,-Inf
551,1.7411515989,-Inf
552,1.7419390777,-Inf
553,1.7427251313,-Inf
554,1.7435097647,-Inf
555,1.7442929831,-Inf
556,1.7450747916,-Inf
557,1.7458551952,-Inf
558,1.7466341989,-Inf
559,1.7474118079,-Inf
560,1.748188027,-Inf
561,1.7489628613,-Inf
562,1.7497363156,-Inf
563,1.7505083949,-Inf
564,1.751279104,-Inf
565,1.7520484478,-Inf
566,1.7528164312,-Inf
567,1.7535830589,-Inf
568,1.7543483357,-Inf
569,1.7551122664,-Inf
570,1.7558748557,-Inf
571,1.7566361082,-Inf
572,1.7573960288,-Inf
573,1.758154622,-Inf
574,1.7589118924,-Inf
575,1.7596678447,-Inf
576,1.7604224834,-Inf
577,1.7611758132,-Inf
578,1.7619278384,-Inf
579,1.7626785637,-Inf
580,1.7634279936,-Inf
581,1.7641761324,-Inf
582,1.7649229846,-Inf
583,1.7656685548,-Inf
584,1.7664128471,-Inf
585,1.7671558661,-Inf
586,1.767897616,-Inf
587,1.7686381012,-Inf
588,1.7693773261,-Inf
589,1.7701152948,-Inf
590,1.7708520116,-Inf
591,1.7715874809,-Inf
592,1.7723217067,-Inf
593,1.7730546934,-Inf
594,1.773786445,-Inf
595,1.7745169657,-Inf
596,1.7752462597,-Inf
597,1.7759743311,-Inf
598,1.776701184,-Inf
599,1.7774268224,-Inf
600,1.7781512504,-Inf
601,1.778874472,-Inf
602,1.7795964913,-Inf
603,1.7803173121,-Inf
604,1.7810369386,-Inf
605,1.7817553747,-Inf
606,1.7824726242,-Inf
607,1.7831886911,-Inf
608,1.7839035793,-Inf
609,1.7846172926,-Inf
610,1.785329835,-Inf
611,1.7860412102,-Inf
612,1.7867514221,-Inf
613,1.7874604745,-Inf
614,1.7881683711,-Inf
615,1.7888751158,-Inf
616,1.7895807122,-Inf
617,1.790285164,-Inf
618,1.7909884751,-Inf
619,1.791690649,-Inf
620,1.7923916895,-Inf
621,1.7930916002,-Inf
622,1.7937903847,-Inf
623,1.7944880467,-Inf
624,1.7951845897,-Inf
625,1.7958800173,-Inf
626,1.7965743332,-Inf
